total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
18,1,749,1,0.05555555555555555,0.0013351134846461949
28,21,635,4,0.75,0.006299212598425197
14,0,589,0,0.0,0.0
32,6,875,4,0.1875,0.004571428571428572
42,20,694,4,0.47619047619047616,0.005763688760806916
51,34,1254,8,0.6666666666666666,0.006379585326953748
57,3,712,13,0.05263157894736842,0.018258426966292134
33,0,733,0,0.0,0.0
27,0,436,0,0.0,0.0
37,5,726,3,0.13513513513513514,0.004132231404958678
128,56,838,19,0.4375,0.022673031026252982
23,14,778,2,0.6086956521739131,0.002570694087403599
39,20,698,10,0.5128205128205128,0.014326647564469915
142,54,1037,27,0.38028169014084506,0.026036644165863067
56,21,794,4,0.375,0.005037783375314861
34,21,1037,8,0.6176470588235294,0.007714561234329798
19,2,980,2,0.10526315789473684,0.0020408163265306124
20,0,511,0,0.0,0.0
43,17,629,4,0.3953488372093023,0.006359300476947536
30,0,616,0,0.0,0.0
36,0,916,0,0.0,0.0
55,11,954,5,0.2,0.005241090146750524
105,21,463,8,0.2,0.017278617710583154
27,3,713,1,0.1111111111111111,0.001402524544179523
41,0,597,0,0.0,0.0
39,3,861,1,0.07692307692307693,0.0011614401858304297
40,18,762,3,0.45,0.003937007874015748
42,5,530,2,0.11904761904761904,0.0037735849056603774
34,29,1052,7,0.8529411764705882,0.006653992395437262
32,5,1080,4,0.15625,0.003703703703703704
43,7,1165,5,0.16279069767441862,0.004291845493562232
38,18,900,4,0.47368421052631576,0.0044444444444444444
19,0,574,0,0.0,0.0
68,7,1018,8,0.10294117647058823,0.007858546168958742
27,6,1340,1,0.2222222222222222,0.0007462686567164179
28,0,740,0,0.0,0.0
34,1,812,2,0.029411764705882353,0.0024630541871921183
42,19,946,4,0.4523809523809524,0.004228329809725159
47,16,651,3,0.3404255319148936,0.004608294930875576
24,1,654,1,0.041666666666666664,0.0015290519877675841
52,33,914,14,0.6346153846153846,0.015317286652078774
66,29,954,6,0.4393939393939394,0.006289308176100629
38,32,820,10,0.8421052631578947,0.012195121951219513
62,42,928,25,0.6774193548387096,0.02693965517241379
36,1,945,1,0.027777777777777776,0.0010582010582010583
37,4,449,2,0.10810810810810811,0.004454342984409799
51,1,826,1,0.0196078431372549,0.0012106537530266344
24,14,579,2,0.5833333333333334,0.0034542314335060447
19,0,594,0,0.0,0.0
38,18,1238,5,0.47368421052631576,0.004038772213247173
16,0,1075,0,0.0,0.0
35,0,426,0,0.0,0.0
93,20,831,13,0.21505376344086022,0.015643802647412757
9,1,990,1,0.1111111111111111,0.00101010101010101
7,0,608,0,0.0,0.0
17,7,998,1,0.4117647058823529,0.001002004008016032
24,10,644,3,0.4166666666666667,0.004658385093167702
64,3,565,3,0.046875,0.005309734513274336
56,27,685,3,0.48214285714285715,0.004379562043795621
34,25,1125,8,0.7352941176470589,0.0071111111111111115
75,14,688,18,0.18666666666666668,0.02616279069767442
40,21,1201,5,0.525,0.004163197335553705
77,7,689,2,0.09090909090909091,0.002902757619738752
26,19,1260,7,0.7307692307692307,0.005555555555555556
25,12,1425,2,0.48,0.0014035087719298245
38,15,1174,4,0.39473684210526316,0.0034071550255536627
29,8,1109,4,0.27586206896551724,0.0036068530207394047
24,7,574,1,0.2916666666666667,0.0017421602787456446
40,32,876,8,0.8,0.0091324200913242
32,0,1340,0,0.0,0.0
22,0,1259,0,0.0,0.0
53,28,784,4,0.5283018867924528,0.00510204081632653
47,11,778,2,0.23404255319148937,0.002570694087403599
42,0,629,0,0.0,0.0
37,2,1444,1,0.05405405405405406,0.0006925207756232687
46,26,1033,13,0.5652173913043478,0.012584704743465635
13,6,1469,1,0.46153846153846156,0.0006807351940095302
31,0,286,0,0.0,0.0
47,11,379,2,0.23404255319148937,0.005277044854881266
31,0,652,0,0.0,0.0
24,9,978,1,0.375,0.0010224948875255625
19,0,656,0,0.0,0.0
51,20,1282,1,0.39215686274509803,0.00078003120124805
26,24,854,23,0.9230769230769231,0.026932084309133488
33,23,808,3,0.696969696969697,0.0037128712871287127
22,0,1128,0,0.0,0.0
28,21,1135,3,0.75,0.0026431718061674008
20,8,1127,3,0.4,0.0026619343389529724
53,0,457,0,0.0,0.0
54,41,820,27,0.7592592592592593,0.032926829268292684
60,40,835,8,0.6666666666666666,0.009580838323353293
34,0,723,0,0.0,0.0
40,19,1166,3,0.475,0.002572898799313894
44,2,1497,2,0.045454545454545456,0.0013360053440213762
52,2,831,2,0.038461538461538464,0.0024067388688327317
22,7,527,4,0.3181818181818182,0.007590132827324478
35,6,836,2,0.17142857142857143,0.0023923444976076554
34,16,836,2,0.47058823529411764,0.0023923444976076554
22,3,829,2,0.13636363636363635,0.0024125452352231603
23,0,619,0,0.0,0.0
24,0,616,0,0.0,0.0
24,0,467,0,0.0,0.0
41,7,550,3,0.17073170731707318,0.005454545454545455
36,5,1303,2,0.1388888888888889,0.0015349194167306216
102,48,860,18,0.47058823529411764,0.020930232558139535
16,3,746,5,0.1875,0.006702412868632708
46,1,981,3,0.021739130434782608,0.0030581039755351682
31,0,622,0,0.0,0.0
34,15,1376,11,0.4411764705882353,0.007994186046511628
62,15,786,3,0.24193548387096775,0.003816793893129771
47,15,1051,3,0.3191489361702128,0.0028544243577545195
24,0,610,0,0.0,0.0
82,23,357,3,0.2804878048780488,0.008403361344537815
26,20,832,4,0.7692307692307693,0.004807692307692308
34,3,828,4,0.08823529411764706,0.004830917874396135
38,4,1022,2,0.10526315789473684,0.0019569471624266144
52,22,1301,15,0.4230769230769231,0.011529592621060722
23,0,876,0,0.0,0.0
20,0,595,0,0.0,0.0
42,32,1086,10,0.7619047619047619,0.009208103130755065
38,11,1617,1,0.2894736842105263,0.0006184291898577613
31,3,635,2,0.0967741935483871,0.0031496062992125984
34,27,1024,8,0.7941176470588235,0.0078125
38,7,921,10,0.18421052631578946,0.010857763300760043
56,11,837,2,0.19642857142857142,0.0023894862604540022
42,38,877,13,0.9047619047619048,0.014823261117445839
34,27,994,19,0.7941176470588235,0.019114688128772636
24,3,1149,1,0.125,0.0008703220191470844
30,1,648,1,0.03333333333333333,0.0015432098765432098
55,21,838,7,0.38181818181818183,0.008353221957040573
26,0,1231,0,0.0,0.0
15,0,786,0,0.0,0.0
24,0,849,0,0.0,0.0
24,8,1055,2,0.3333333333333333,0.0018957345971563982
22,11,580,2,0.5,0.0034482758620689655
14,0,1860,0,0.0,0.0
78,32,757,9,0.41025641025641024,0.011889035667107
72,12,946,8,0.16666666666666666,0.008456659619450317
15,6,689,2,0.4,0.002902757619738752
33,10,1273,7,0.30303030303030304,0.0054988216810683424
28,9,883,9,0.32142857142857145,0.010192525481313703
46,6,891,2,0.13043478260869565,0.002244668911335578
67,34,1120,12,0.5074626865671642,0.010714285714285714
52,43,1114,7,0.8269230769230769,0.0062836624775583485
32,3,612,1,0.09375,0.0016339869281045752
27,0,1022,0,0.0,0.0
53,18,709,4,0.33962264150943394,0.005641748942172073
117,17,685,9,0.1452991452991453,0.013138686131386862
14,1,1137,1,0.07142857142857142,0.0008795074758135445
20,13,605,1,0.65,0.001652892561983471
18,4,816,1,0.2222222222222222,0.0012254901960784314
13,0,981,0,0.0,0.0
34,9,626,7,0.2647058823529412,0.011182108626198083
77,12,1149,12,0.15584415584415584,0.010443864229765013
31,0,392,0,0.0,0.0
54,10,720,5,0.18518518518518517,0.006944444444444444
20,0,490,0,0.0,0.0
