total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
3,2,737,2,0.6666666666666666,0.0027137042062415195
45,32,890,28,0.7111111111111111,0.03146067415730337
24,21,1024,9,0.875,0.0087890625
11,7,1012,1,0.6363636363636364,0.0009881422924901185
27,27,967,38,1.0,0.03929679420889348
37,37,799,31,1.0,0.03879849812265332
8,8,340,4,1.0,0.011764705882352941
8,8,488,5,1.0,0.010245901639344262
3,0,979,0,0.0,0.0
80,73,685,93,0.9125,0.13576642335766423
144,129,1019,158,0.8958333333333334,0.155053974484789
2,0,489,0,0.0,0.0
2,0,1085,0,0.0,0.0
33,29,849,39,0.8787878787878788,0.045936395759717315
1,1,726,2,1.0,0.0027548209366391185
54,44,835,50,0.8148148148148148,0.059880239520958084
106,88,516,83,0.8301886792452831,0.16085271317829458
41,39,831,56,0.9512195121951219,0.06738868832731648
6,4,760,1,0.6666666666666666,0.0013157894736842105
6,6,689,2,1.0,0.002902757619738752
34,28,835,51,0.8235294117647058,0.06107784431137724
8,7,995,3,0.875,0.003015075376884422
46,39,986,43,0.8478260869565217,0.0436105476673428
32,32,921,54,1.0,0.05863192182410423
4,1,863,1,0.25,0.0011587485515643105
11,11,1572,23,1.0,0.014631043256997456
2,0,765,0,0.0,0.0
19,15,537,8,0.7894736842105263,0.0148975791433892
54,52,659,51,0.9629629629629629,0.07738998482549317
27,26,1035,31,0.9629629629629629,0.02995169082125604
22,22,1028,27,1.0,0.026264591439688716
30,24,350,20,0.8,0.05714285714285714
11,9,1321,7,0.8181818181818182,0.005299015897047691
28,28,963,38,1.0,0.03946002076843198
29,24,1471,17,0.8275862068965517,0.011556764106050306
3,3,795,2,1.0,0.0025157232704402514
10,10,961,3,1.0,0.003121748178980229
5,0,519,0,0.0,0.0
6,4,1034,3,0.6666666666666666,0.0029013539651837525
15,15,997,20,1.0,0.020060180541624874
17,15,496,4,0.8823529411764706,0.008064516129032258
28,24,642,44,0.8571428571428571,0.06853582554517133
25,15,442,9,0.6,0.020361990950226245
20,19,561,10,0.95,0.017825311942959002
5,2,626,1,0.4,0.001597444089456869
3,2,1068,1,0.6666666666666666,0.0009363295880149813
5,0,857,0,0.0,0.0
5,3,519,1,0.6,0.0019267822736030828
56,43,744,32,0.7678571428571429,0.043010752688172046
46,24,568,15,0.5217391304347826,0.02640845070422535
16,15,448,24,0.9375,0.05357142857142857
16,16,1257,31,1.0,0.024661893396976928
3,0,316,0,0.0,0.0
39,35,673,45,0.8974358974358975,0.06686478454680535
3,0,743,0,0.0,0.0
13,8,1105,8,0.6153846153846154,0.007239819004524887
4,3,616,2,0.75,0.003246753246753247
19,17,993,15,0.8947368421052632,0.015105740181268883
42,38,938,57,0.9047619047619048,0.060767590618336885
8,1,410,1,0.125,0.0024390243902439024
59,51,724,61,0.864406779661017,0.08425414364640885
9,8,770,4,0.8888888888888888,0.005194805194805195
26,26,576,39,1.0,0.06770833333333333
22,22,1414,29,1.0,0.02050919377652051
7,5,792,10,0.7142857142857143,0.012626262626262626
3,0,403,0,0.0,0.0
18,16,632,5,0.8888888888888888,0.007911392405063292
7,5,488,2,0.7142857142857143,0.004098360655737705
18,14,1761,5,0.7777777777777778,0.0028392958546280523
1,0,656,0,0.0,0.0
74,68,1308,106,0.918918918918919,0.08103975535168195
15,12,753,13,0.8,0.017264276228419653
7,7,662,4,1.0,0.006042296072507553
9,9,1234,2,1.0,0.0016207455429497568
25,25,398,33,1.0,0.0829145728643216
65,44,479,42,0.676923076923077,0.08768267223382047
22,21,786,36,0.9545454545454546,0.04580152671755725
1,0,847,0,0.0,0.0
10,9,1400,2,0.9,0.0014285714285714286
2,2,1393,4,1.0,0.002871500358937545
125,109,598,109,0.872,0.18227424749163879
94,92,931,114,0.9787234042553191,0.12244897959183673
9,6,984,1,0.6666666666666666,0.0010162601626016261
5,3,1281,2,0.6,0.00156128024980484
46,44,1696,69,0.9565217391304348,0.04068396226415094
37,22,608,6,0.5945945945945946,0.009868421052631578
16,11,499,4,0.6875,0.008016032064128256
2,0,873,0,0.0,0.0
22,22,487,39,1.0,0.08008213552361396
30,24,483,32,0.8,0.06625258799171843
4,4,675,2,1.0,0.002962962962962963
5,0,679,0,0.0,0.0
3,1,523,2,0.3333333333333333,0.0038240917782026767
23,17,1016,11,0.7391304347826086,0.010826771653543307
15,13,1308,12,0.8666666666666667,0.009174311926605505
10,10,1161,23,1.0,0.019810508182601206
90,63,746,71,0.7,0.09517426273458444
2,0,1208,0,0.0,0.0
2,0,365,0,0.0,0.0
86,81,741,111,0.9418604651162791,0.14979757085020243
16,15,998,4,0.9375,0.004008016032064128
70,64,938,76,0.9142857142857143,0.08102345415778252
2,0,589,0,0.0,0.0
33,30,909,58,0.9090909090909091,0.0638063806380638
73,63,944,91,0.863013698630137,0.09639830508474577
3,1,421,1,0.3333333333333333,0.0023752969121140144
3,0,825,0,0.0,0.0
2,0,752,0,0.0,0.0
52,51,1261,67,0.9807692307692307,0.05313243457573354
20,19,516,35,0.95,0.06782945736434108
2,2,781,1,1.0,0.0012804097311139564
20,12,1133,10,0.6,0.0088261253309797
80,65,679,72,0.8125,0.10603829160530191
2,2,849,3,1.0,0.0035335689045936395
2,2,367,2,1.0,0.005449591280653951
14,12,620,9,0.8571428571428571,0.014516129032258065
2,0,894,0,0.0,0.0
2,0,1020,0,0.0,0.0
1,0,637,0,0.0,0.0
50,48,950,56,0.96,0.05894736842105263
10,10,924,13,1.0,0.01406926406926407
2,2,580,2,1.0,0.0034482758620689655
2,0,953,0,0.0,0.0
32,32,1070,36,1.0,0.03364485981308411
10,5,942,1,0.5,0.0010615711252653928
6,4,786,3,0.6666666666666666,0.003816793893129771
11,9,463,2,0.8181818181818182,0.004319654427645789
57,49,775,69,0.8596491228070176,0.08903225806451613
41,34,807,56,0.8292682926829268,0.06939281288723669
5,1,885,1,0.2,0.0011299435028248588
10,9,372,6,0.9,0.016129032258064516
25,23,726,16,0.92,0.02203856749311295
6,4,382,1,0.6666666666666666,0.002617801047120419
33,30,811,34,0.9090909090909091,0.04192355117139334
2,0,465,0,0.0,0.0
22,18,847,16,0.8181818181818182,0.018890200708382526
82,62,996,62,0.7560975609756098,0.06224899598393574
9,9,743,23,1.0,0.03095558546433378
63,58,435,73,0.9206349206349206,0.167816091954023
3,2,993,1,0.6666666666666666,0.0010070493454179255
28,28,712,42,1.0,0.05898876404494382
1,1,1007,1,1.0,0.0009930486593843098
4,0,990,0,0.0,0.0
9,0,294,0,0.0,0.0
6,6,942,6,1.0,0.006369426751592357
40,39,1404,57,0.975,0.0405982905982906
42,41,1033,66,0.9761904761904762,0.06389157792836399
46,44,925,64,0.9565217391304348,0.06918918918918919
4,0,1213,0,0.0,0.0
8,7,1155,3,0.875,0.0025974025974025974
5,3,680,1,0.6,0.0014705882352941176
24,24,692,33,1.0,0.0476878612716763
1,0,997,0,0.0,0.0
5,5,1098,3,1.0,0.00273224043715847
24,24,704,30,1.0,0.04261363636363636
12,9,512,5,0.75,0.009765625
19,18,1297,17,0.9473684210526315,0.013107170393215111
10,8,1115,2,0.8,0.0017937219730941704
4,3,424,2,0.75,0.0047169811320754715
10,9,556,4,0.9,0.007194244604316547
12,3,667,1,0.25,0.0014992503748125937
13,11,611,2,0.8461538461538461,0.0032733224222585926
1,1,1174,1,1.0,0.0008517887563884157
104,94,612,98,0.9038461538461539,0.16013071895424835
2,0,589,0,0.0,0.0
12,10,551,4,0.8333333333333334,0.007259528130671506
47,47,920,52,1.0,0.05652173913043478
26,22,409,26,0.8461538461538461,0.06356968215158924
10,8,448,3,0.8,0.006696428571428571
15,6,933,1,0.4,0.0010718113612004287
10,9,645,6,0.9,0.009302325581395349
13,13,1178,26,1.0,0.022071307300509338
7,3,821,6,0.42857142857142855,0.007308160779537149
7,7,703,3,1.0,0.004267425320056899
31,28,916,33,0.9032258064516129,0.036026200873362446
7,7,1057,15,1.0,0.014191106906338695
16,16,1325,30,1.0,0.022641509433962263
49,49,810,66,1.0,0.08148148148148149
7,6,770,2,0.8571428571428571,0.0025974025974025974
25,23,539,15,0.92,0.027829313543599257
19,17,810,14,0.8947368421052632,0.01728395061728395
27,24,1055,42,0.8888888888888888,0.03981042654028436
27,25,500,34,0.9259259259259259,0.068
2,2,715,1,1.0,0.0013986013986013986
3,3,1048,6,1.0,0.0057251908396946565
31,29,1126,43,0.9354838709677419,0.03818827708703375
5,5,717,2,1.0,0.002789400278940028
1,0,422,0,0.0,0.0
1,1,356,1,1.0,0.0028089887640449437
7,0,1122,0,0.0,0.0
7,0,429,0,0.0,0.0
15,8,389,5,0.5333333333333333,0.012853470437017995
8,6,1193,6,0.75,0.005029337803855826
4,0,795,0,0.0,0.0
37,36,594,52,0.972972972972973,0.08754208754208755
73,71,765,90,0.9726027397260274,0.11764705882352941
4,0,796,0,0.0,0.0
13,12,751,29,0.9230769230769231,0.03861517976031957
25,24,1191,34,0.96,0.028547439126784216
15,13,751,26,0.8666666666666667,0.03462050599201065
7,0,814,0,0.0,0.0
85,61,702,32,0.7176470588235294,0.045584045584045586
17,16,1163,20,0.9411764705882353,0.017196904557179708
32,24,709,20,0.75,0.028208744710860368
54,49,824,55,0.9074074074074074,0.06674757281553398
22,22,543,29,1.0,0.053406998158379376
30,29,883,47,0.9666666666666667,0.053227633069082674
2,2,1300,1,1.0,0.0007692307692307692
19,19,813,35,1.0,0.04305043050430504
93,88,856,89,0.946236559139785,0.10397196261682243
21,20,890,26,0.9523809523809523,0.029213483146067417
86,72,1025,74,0.8372093023255814,0.0721951219512195
1,0,772,0,0.0,0.0
4,0,475,0,0.0,0.0
18,15,823,8,0.8333333333333334,0.009720534629404616
2,0,762,0,0.0,0.0
7,0,721,0,0.0,0.0
2,2,593,1,1.0,0.0016863406408094434
19,18,1009,29,0.9473684210526315,0.028741328047571853
12,12,790,20,1.0,0.02531645569620253
40,37,616,58,0.925,0.09415584415584416
29,29,1366,46,1.0,0.03367496339677892
42,41,916,28,0.9761904761904762,0.03056768558951965
49,38,726,38,0.7755102040816326,0.05234159779614325
30,30,323,41,1.0,0.12693498452012383
25,24,602,36,0.96,0.059800664451827246
2,0,972,0,0.0,0.0
72,66,685,65,0.9166666666666666,0.0948905109489051
16,15,900,28,0.9375,0.03111111111111111
8,7,1010,4,0.875,0.0039603960396039604
48,47,886,68,0.9791666666666666,0.07674943566591422
51,47,424,57,0.9215686274509803,0.13443396226415094
14,10,1068,1,0.7142857142857143,0.0009363295880149813
13,12,496,21,0.9230769230769231,0.04233870967741935
2,2,1826,4,1.0,0.002190580503833516
40,30,681,10,0.75,0.014684287812041116
2,2,755,2,1.0,0.0026490066225165563
2,2,612,1,1.0,0.0016339869281045752
34,24,692,5,0.7058823529411765,0.0072254335260115606
53,44,1057,51,0.8301886792452831,0.048249763481551564
24,23,824,37,0.9583333333333334,0.044902912621359224
18,18,1226,23,1.0,0.018760195758564437
80,63,887,35,0.7875,0.03945885005636979
38,34,658,57,0.8947368421052632,0.08662613981762918
5,2,544,5,0.4,0.009191176470588236
13,8,506,3,0.6153846153846154,0.005928853754940711
2,2,603,3,1.0,0.004975124378109453
48,39,988,53,0.8125,0.053643724696356275
7,1,708,2,0.14285714285714285,0.002824858757062147
10,9,446,3,0.9,0.006726457399103139
2,1,638,1,0.5,0.001567398119122257
33,30,708,32,0.9090909090909091,0.04519774011299435
2,0,682,0,0.0,0.0
2,2,704,1,1.0,0.0014204545454545455
3,0,590,0,0.0,0.0
3,0,752,0,0.0,0.0
11,11,395,17,1.0,0.043037974683544304
3,0,706,0,0.0,0.0
3,0,429,0,0.0,0.0
12,9,609,4,0.75,0.006568144499178982
40,36,592,54,0.9,0.09121621621621621
15,10,1179,2,0.6666666666666666,0.0016963528413910093
2,0,879,0,0.0,0.0
6,0,826,0,0.0,0.0
1,0,689,0,0.0,0.0
20,20,695,38,1.0,0.05467625899280575
55,54,633,76,0.9818181818181818,0.12006319115323855
1,1,707,1,1.0,0.0014144271570014145
3,2,703,1,0.6666666666666666,0.001422475106685633
8,4,507,2,0.5,0.0039447731755424065
16,16,1012,34,1.0,0.03359683794466403
27,25,1147,34,0.9259259259259259,0.02964254577157803
4,1,896,2,0.25,0.002232142857142857
18,18,1266,30,1.0,0.023696682464454975
15,14,539,11,0.9333333333333333,0.02040816326530612
17,17,818,33,1.0,0.040342298288508556
1,0,525,0,0.0,0.0
2,1,812,1,0.5,0.0012315270935960591
46,44,755,55,0.9565217391304348,0.0728476821192053
38,27,623,14,0.7105263157894737,0.02247191011235955
17,14,439,3,0.8235294117647058,0.00683371298405467
2,0,564,0,0.0,0.0
3,3,697,1,1.0,0.0014347202295552368
2,2,799,3,1.0,0.0037546933667083854
40,38,1192,45,0.95,0.037751677852348994
11,10,1042,20,0.9090909090909091,0.019193857965451054
2,2,641,1,1.0,0.0015600624024961
21,21,860,15,1.0,0.01744186046511628
1,0,645,0,0.0,0.0
12,11,576,5,0.9166666666666666,0.008680555555555556
14,14,1006,25,1.0,0.02485089463220676
4,3,1114,1,0.75,0.0008976660682226212
25,25,728,46,1.0,0.06318681318681318
83,73,757,70,0.8795180722891566,0.09247027741083223
15,15,590,15,1.0,0.025423728813559324
3,3,865,1,1.0,0.0011560693641618498
39,32,1132,40,0.8205128205128205,0.0353356890459364
2,0,788,0,0.0,0.0
53,52,1132,71,0.9811320754716981,0.0627208480565371
16,16,748,26,1.0,0.034759358288770054
2,2,620,1,1.0,0.0016129032258064516
4,3,609,2,0.75,0.003284072249589491
84,77,500,93,0.9166666666666666,0.186
3,2,644,1,0.6666666666666666,0.0015527950310559005
18,18,267,24,1.0,0.0898876404494382
52,46,930,64,0.8846153846153846,0.06881720430107527
38,38,696,60,1.0,0.08620689655172414
16,10,1310,12,0.625,0.00916030534351145
42,41,1583,59,0.9761904761904762,0.037271004421983576
106,92,1360,104,0.8679245283018868,0.07647058823529412
109,87,490,103,0.7981651376146789,0.21020408163265306
