total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
14,14,948,12,1.0,0.012658227848101266
95,91,1322,125,0.9578947368421052,0.094553706505295
10,10,849,19,1.0,0.02237926972909305
52,48,1391,78,0.9230769230769231,0.056074766355140186
28,26,630,40,0.9285714285714286,0.06349206349206349
26,24,546,22,0.9230769230769231,0.040293040293040296
14,12,1149,24,0.8571428571428571,0.020887728459530026
28,28,975,52,1.0,0.05333333333333334
38,38,767,45,1.0,0.05867014341590613
33,32,885,41,0.9696969696969697,0.04632768361581921
32,24,588,19,0.75,0.03231292517006803
13,13,801,23,1.0,0.02871410736579276
36,34,689,52,0.9444444444444444,0.07547169811320754
22,21,841,39,0.9545454545454546,0.04637336504161712
62,54,785,60,0.8709677419354839,0.07643312101910828
13,13,1047,27,1.0,0.025787965616045846
21,21,808,19,1.0,0.023514851485148515
48,46,1188,51,0.9583333333333334,0.04292929292929293
19,19,1093,27,1.0,0.024702653247941447
36,33,573,51,0.9166666666666666,0.08900523560209424
105,101,780,125,0.9619047619047619,0.16025641025641027
74,64,498,74,0.8648648648648649,0.14859437751004015
39,37,1087,44,0.9487179487179487,0.040478380864765406
41,37,555,52,0.9024390243902439,0.0936936936936937
82,75,555,96,0.9146341463414634,0.17297297297297298
116,95,889,117,0.8189655172413793,0.13160854893138357
31,29,1186,45,0.9354838709677419,0.03794266441821248
21,21,546,31,1.0,0.056776556776556776
67,66,1156,76,0.9850746268656716,0.0657439446366782
15,15,1947,32,1.0,0.016435541859270673
80,65,746,65,0.8125,0.0871313672922252
71,54,933,64,0.7605633802816901,0.06859592711682744
37,34,925,59,0.918918918918919,0.06378378378378378
36,32,541,48,0.8888888888888888,0.08872458410351201
44,42,831,68,0.9545454545454546,0.08182912154031288
39,39,977,61,1.0,0.062436028659160696
23,16,522,18,0.6956521739130435,0.034482758620689655
72,69,1083,83,0.9583333333333334,0.07663896583564174
50,45,642,64,0.9,0.09968847352024922
119,103,695,118,0.865546218487395,0.1697841726618705
72,59,834,64,0.8194444444444444,0.07673860911270983
88,57,923,29,0.6477272727272727,0.0314192849404117
57,57,785,54,1.0,0.06878980891719745
